"","country","country_code","latitude","longitude"
"512","Unknown","Unknown",20.6275,57.1643
"513","Unknown","Unknown",20.6845,57.1407
"514","Unknown","Unknown",20.7325,57.122
"515","Unknown","Unknown",21.0118,57.33
"516","Unknown","Unknown",21.004,57.3187
"517","Unknown","Unknown",21.0518,57.2697
"518","Unknown","Unknown",21.0683,57.27
"519","Unknown","Unknown",20.71,57.0217
"520","Unknown","Unknown",20.32,57.2317
"521","Unknown","Unknown",20.53,56.665
"522","Unknown","Unknown",20.8817,57.2
"523","Unknown","Unknown",21,57.32
"524","Unknown","Unknown",21.1667,56.6667
"525","Unknown","Unknown",21.1702,56.6828
"526","Unknown","Unknown",21.0992,57.0912
"527","Unknown","Unknown",20.9912,57.3388
"528","Unknown","Unknown",21.1231,56.9824
"529","Unknown","Unknown",21.1091,56.9335
"530","Unknown","Unknown",21.1454,56.7875
"531","Unknown","Unknown",21.1449,56.8059
"532","Unknown","Unknown",20.6157,57.1632
"533","Unknown","Unknown",20.8275,57.3055
"534","Unknown","Unknown",21.053,57.2627
"535","Unknown","Unknown",20.935,57.0117
"536","Unknown","Unknown",20.9833,57.3267
"537","Unknown","Unknown",21.0183,57.3133
"538","Unknown","Unknown",21.0583,57.2917
"539","Unknown","Unknown",20.5417,56.6883
"540","Unknown","Unknown",20.9267,57.255
"541","Unknown","Unknown",21.0667,57.3167
"542","Unknown","Unknown",21.085,57.28
"543","Unknown","Unknown",20.99,57.3067
"544","Unknown","Unknown",20.985,57.2967
"545","Unknown","Unknown",21.0433,57.2967
"546","Unknown","Unknown",21.06,57.265
"547","Unknown","Unknown",21.0467,57.255
"548","Unknown","Unknown",20.46,56.675
"549","Unknown","Unknown",20.5417,56.68
"550","Unknown","Unknown",20.5367,56.6833
"551","Unknown","Unknown",20.9983,57.3217
"552","Unknown","Unknown",21.0033,57.315
"553","Unknown","Unknown",21.0033,57.3217
"554","Unknown","Unknown",21.0083,57.31
"555","Unknown","Unknown",21.07,57.3133
"556","Unknown","Unknown",21.02,57.2817
"557","Unknown","Unknown",21.0083,57
"558","Unknown","Unknown",21.0067,57.3217
"559","Unknown","Unknown",20.98,57.3333
"560","Unknown","Unknown",21.0883,57.2917
"561","Unknown","Unknown",20.9983,57.315
"562","Unknown","Unknown",21.09,56.915
"563","Unknown","Unknown",21.0033,57.3183
"564","Unknown","Unknown",21.07,57.27
"565","Unknown","Unknown",21.0683,57.3156
"566","Unknown","Unknown",20.9987,57.2947
"567","Unknown","Unknown",21.0336,57.3206
"568","Unknown","Unknown",21.0648,57.2736
"569","Unknown","Unknown",21.0664,57.2676
"570","Unknown","Unknown",21.0713,57.1018
"571","Unknown","Unknown",21.1837,57.2101
"572","Unknown","Unknown",21.187,57.2087
"573","Unknown","Unknown",21.2077,57.2114
"574","Unknown","Unknown",21.0629,57.3156
"575","Unknown","Unknown",21.0426,57.2977
"576","Unknown","Unknown",21.057,57.2997
"577","Unknown","Unknown",21.0074,57.2666
"578","Unknown","Unknown",21.0483,57.3092
"579","Unknown","Unknown",21.0516,57.3114
"580","Unknown","Unknown",21.0464,57.3103
"581","Unknown","Unknown",21.0391,57.3102
"582","Unknown","Unknown",21.0386,57.2938
"583","Unknown","Unknown",20.992,57.3199
"584","Unknown","Unknown",21.0372,57.2902
"585","Unknown","Unknown",21.0369,57.2899
"586","Unknown","Unknown",21.038,57.2928
"587","Unknown","Unknown",21.0517,57.2379
"588","Unknown","Unknown",20.9987,57.325
"589","Unknown","Unknown",21.0675,57.2722
"590","Unknown","Unknown",21.0657,57.2636
"591","Unknown","Unknown",21.0172,57.3203
"592","Unknown","Unknown",20.09,56.7029
"593","Unknown","Unknown",20.09,56.7205
"594","Unknown","Unknown",20.07,56.7237
"595","Unknown","Unknown",21.037,57.3269
"596","Unknown","Unknown",20.9835,57.201
"597","Unknown","Unknown",21.0202,57.2115
"598","Unknown","Unknown",21.0206,57.2131
"599","Unknown","Unknown",21.1679,56.5414
"600","Unknown","Unknown",21.1052,56.9963
