country,country_code,latitude,longitude
Antarctica,AQ,-72.9353,75.3194
Antarctica,AQ,-72.9308,75.3419
Antarctica,AQ,-72.9339,75.2886
Antarctica,AQ,-72.9325,75.3497
Antarctica,AQ,-72.9294,75.3386
Antarctica,AQ,-72.9325,75.3283
Antarctica,AQ,-72.93,75.3422
Antarctica,AQ,-72.935,75.3192
Antarctica,AQ,-72.9375,75.3075
Antarctica,AQ,-72.9361,75.3164
Antarctica,AQ,-72.9353,75.3189
Antarctica,AQ,-72.9353,75.3197
Antarctica,AQ,-72.9389,75.2933
Antarctica,AQ,-72.9406,75.2831
Antarctica,AQ,-72.9336,75.3089
Antarctica,AQ,-72.9342,75.32
Antarctica,AQ,-72.9378,75.3142
Antarctica,AQ,-72.9375,75.3142
Antarctica,AQ,-72.8294,75.2786
Antarctica,AQ,-72.9378,75.3139
Antarctica,AQ,-72.7811,75.3122
Antarctica,AQ,-72.7806,75.3091
Antarctica,AQ,-72.7803,75.3175
Antarctica,AQ,-72.7789,75.3169
Antarctica,AQ,-72.7808,75.3208
Antarctica,AQ,-72.7797,75.3333
Antarctica,AQ,-72.7794,75.3239
Antarctica,AQ,-72.7794,75.3275
Antarctica,AQ,-72.7786,75.3272
Antarctica,AQ,-72.78,75.3247
Antarctica,AQ,-72.7792,75.3194
Antarctica,AQ,-72.7786,75.3211
Antarctica,AQ,-72.7775,75.3289
Antarctica,AQ,-72.7786,75.3311
Antarctica,AQ,-72.78,75.32
Antarctica,AQ,-72.7811,75.3208
Antarctica,AQ,-72.7792,75.3275
Antarctica,AQ,-72.7809,75.319
Antarctica,AQ,-72.7797,75.3269
Antarctica,AQ,-72.7797,75.3297
Antarctica,AQ,-72.7797,75.3308
Antarctica,AQ,-72.7794,75.3236
Antarctica,AQ,-72.7781,75.3231
Antarctica,AQ,-72.7778,75.3183
Antarctica,AQ,-72.7794,75.3297
Antarctica,AQ,-72.7803,75.3203
Antarctica,AQ,-72.7789,75.3297
Antarctica,AQ,-72.7803,75.3147
Antarctica,AQ,-72.7808,75.3092
Antarctica,AQ,-72.7789,75.315
Antarctica,AQ,-72.7786,75.3333
Antarctica,AQ,-72.7775,75.33
Antarctica,AQ,-72.7803,75.3264
Antarctica,AQ,-72.7806,75.3258
Antarctica,AQ,-72.7797,75.3161
Antarctica,AQ,-72.7778,75.3269
Antarctica,AQ,-72.7783,75.3333
Antarctica,AQ,-72.7786,75.3328
Antarctica,AQ,-72.7783,75.3183
Antarctica,AQ,-72.7761,75.3336
Antarctica,AQ,-72.78,75.3203
Antarctica,AQ,-72.7783,75.3175
Antarctica,AQ,-72.7811,75.3053
Antarctica,AQ,-72.7786,75.3175
Antarctica,AQ,-72.7786,75.3178
Antarctica,AQ,-72.7794,75.3125
Antarctica,AQ,-72.7789,75.3275
Antarctica,AQ,-72.7811,75.3061
Antarctica,AQ,-72.7778,75.3214
Antarctica,AQ,-72.7781,75.3217
Antarctica,AQ,-72.7808,75.305
Antarctica,AQ,-72.7792,75.3292
Antarctica,AQ,-72.7781,75.3358
Antarctica,AQ,-72.7781,75.3183
Antarctica,AQ,-72.7814,75.3189
Antarctica,AQ,-72.7789,75.3328
Antarctica,AQ,-72.7803,75.3233
Antarctica,AQ,-72.7792,75.3236
Antarctica,AQ,-72.7792,75.3283
Antarctica,AQ,-72.7794,75.3128
Antarctica,AQ,-72.7794,75.3197
Antarctica,AQ,-72.7783,75.3231
Antarctica,AQ,-72.78,75.3119
Antarctica,AQ,-72.78,75.3272
Antarctica,AQ,-72.7797,75.3119
Antarctica,AQ,-72.775,75.3361
Antarctica,AQ,-72.7756,75.3342
Antarctica,AQ,-72.7772,75.3297
Antarctica,AQ,-72.7811,75.3283
Antarctica,AQ,-72.7806,75.3081
Antarctica,AQ,-72.7794,75.3294
Antarctica,AQ,-72.7789,75.3319
Antarctica,AQ,-72.7806,75.3314
Antarctica,AQ,-72.7789,75.3208
Antarctica,AQ,-72.7803,75.3314
Antarctica,AQ,-72.7797,75.3278
Antarctica,AQ,-72.7789,75.3314
Antarctica,AQ,-72.7813,75.3204
Antarctica,AQ,-72.7803,75.3103
Antarctica,AQ,-72.7817,75.3183
Antarctica,AQ,-72.7803,75.33
Antarctica,AQ,-72.7809,75.313
Antarctica,AQ,-72.7786,75.3258
Antarctica,AQ,-72.7806,75.3231
Antarctica,AQ,-72.7775,75.3308
Antarctica,AQ,-72.7803,75.3192
Antarctica,AQ,-72.7818,75.3187
Antarctica,AQ,-72.7817,75.3289
Antarctica,AQ,-72.7815,75.3171
Antarctica,AQ,-72.7806,75.3297
Antarctica,AQ,-72.7786,75.315
Antarctica,AQ,-72.7803,75.3183
Antarctica,AQ,-72.7817,75.3178
Antarctica,AQ,-72.7808,75.3192
Antarctica,AQ,-72.7778,75.3228
Antarctica,AQ,-72.7803,75.3283
Antarctica,AQ,-72.78,75.3275
Antarctica,AQ,-72.7789,75.3156
Antarctica,AQ,-72.7792,75.305
Antarctica,AQ,-72.7817,75.3006
Antarctica,AQ,-72.7814,75.3017
Antarctica,AQ,-72.7814,75.3019
Antarctica,AQ,-72.7819,75.2994
Antarctica,AQ,-72.7822,75.2994
Antarctica,AQ,-72.7792,75.3217
Antarctica,AQ,-72.7814,75.3033
Antarctica,AQ,-72.7808,75.3053
Antarctica,AQ,-72.7789,75.3183
Antarctica,AQ,-72.7789,75.3189
Antarctica,AQ,-72.7789,75.3186
Antarctica,AQ,-72.7817,75.2994
Antarctica,AQ,-72.7783,75.3181
Antarctica,AQ,-72.7783,75.3178
Antarctica,AQ,-72.7731,75.3356
Antarctica,AQ,-72.7736,75.3356
Antarctica,AQ,-72.7742,75.3361
Antarctica,AQ,-72.7747,75.3367
Antarctica,AQ,-72.7744,75.3411
Antarctica,AQ,-72.7756,75.3361
Antarctica,AQ,-72.7726,75.3422
Antarctica,AQ,-72.7758,75.3397
Antarctica,AQ,-72.7714,75.3411
Antarctica,AQ,-72.7753,75.3419
Antarctica,AQ,-72.775,75.3397
Antarctica,AQ,-72.7792,75.3158
Antarctica,AQ,-72.7803,75.3308
Antarctica,AQ,-72.78,75.3192
Antarctica,AQ,-72.7803,75.3272
Antarctica,AQ,-72.78,75.3236
Antarctica,AQ,-72.7789,75.3269
Antarctica,AQ,-72.7722,75.3361
Antarctica,AQ,-72.7767,75.3228
Antarctica,AQ,-72.7735,75.3287
Antarctica,AQ,-72.7761,75.3264
Antarctica,AQ,-72.7733,75.34
Antarctica,AQ,-72.7735,75.3438
Antarctica,AQ,-72.7717,75.33
Antarctica,AQ,-72.7733,75.3258
Antarctica,AQ,-72.7753,75.3181
Antarctica,AQ,-72.7728,75.3294
Antarctica,AQ,-72.775,75.3353
Antarctica,AQ,-72.7719,75.3447
Antarctica,AQ,-72.773,75.3382
Antarctica,AQ,-72.7725,75.3467
Antarctica,AQ,-72.7711,75.3381
Antarctica,AQ,-72.7831,75.3003
Antarctica,AQ,-72.7792,75.3136
Antarctica,AQ,-72.7792,75.3231
Antarctica,AQ,-72.7761,75.3231
Antarctica,AQ,-72.7761,75.3258
Antarctica,AQ,-72.7764,75.3097
Antarctica,AQ,-72.7783,75.3217
Antarctica,AQ,-72.7761,75.3344
Antarctica,AQ,-72.7781,75.3283
Antarctica,AQ,-72.7781,75.3206
Antarctica,AQ,-72.7778,75.3006
Antarctica,AQ,-72.7789,75.3247
Antarctica,AQ,-72.7761,75.3286
Antarctica,AQ,-72.7767,75.3219
Antarctica,AQ,-72.7794,75.3161
Antarctica,AQ,-72.7797,75.3144
Unknown,Unknown,70.7333,-117.75
Unknown,Unknown,18.4254,56.8226
Unknown,Unknown,-40.7333,146.9667
Antarctica,AQ,-84.2435,161.4469
Antarctica,AQ,-84.2376,161.4483
Antarctica,AQ,-84.2397,161.4372
Antarctica,AQ,-84.2369,161.4372
Antarctica,AQ,-84.2417,161.4365
Antarctica,AQ,-84.2372,161.4388
Antarctica,AQ,-84.2369,161.438
Antarctica,AQ,-84.2382,161.4633
Antarctica,AQ,-84.2424,161.4687
Antarctica,AQ,-84.2407,161.4427
Antarctica,AQ,-84.2383,161.4477
Antarctica,AQ,-84.2399,161.4372
Antarctica,AQ,-84.243,161.4348
Antarctica,AQ,-84.2391,161.4389
Antarctica,AQ,-84.2355,161.6155
Antarctica,AQ,-84.239,161.4638
Antarctica,AQ,-84.2378,161.4437
Antarctica,AQ,-84.2423,161.4317
Antarctica,AQ,-84.2412,161.4421
Antarctica,AQ,-84.2378,161.4644
Antarctica,AQ,-84.2436,161.4475
Antarctica,AQ,-84.2383,161.4364
Antarctica,AQ,-84.2459,161.4671
Antarctica,AQ,-84.2421,161.4408
Antarctica,AQ,-84.2373,161.4504
Antarctica,AQ,-84.2373,161.4475
Antarctica,AQ,-84.2424,161.4391
Antarctica,AQ,-84.2386,161.4425
Antarctica,AQ,-84.2381,161.4463
Antarctica,AQ,-84.2435,161.4403
Antarctica,AQ,-84.2394,161.4437
Antarctica,AQ,-84.2425,161.4343
Antarctica,AQ,-84.2375,161.4443
Antarctica,AQ,-84.2414,161.4412
Antarctica,AQ,-84.2373,161.4491
Antarctica,AQ,-84.2439,161.4367
Antarctica,AQ,-84.2429,161.4411
Antarctica,AQ,-84.2482,161.3856
Antarctica,AQ,-84.2874,161.3265
Antarctica,AQ,-84.2508,161.3756
Antarctica,AQ,-84.2506,161.4284
Antarctica,AQ,-84.2497,161.3833
Antarctica,AQ,-84.2396,161.4739
