"","reclat","reclong","lat_lng"
"2165",-76.6995,159.3099,"-76.6995,159.3099"
"2166",-76.6915,159.3163,"-76.6915,159.3163"
"2167",-76.7265,159.377,"-76.7265,159.377"
"2168",-76.7268,158.7181,"-76.7268,158.7181"
"2169",-76.694,159.2933,"-76.694,159.2933"
"2170",-76.7202,159.4026,"-76.7202,159.4026"
"2171",-76.7012,159.3107,"-76.7012,159.3107"
"2172",-76.6822,159.3116,"-76.6822,159.3116"
"2173",-76.7248,159.3538,"-76.7248,159.3538"
"2174",-76.723,158.7401,"-76.723,158.7401"
"2175",-76.6947,159.2873,"-76.6947,159.2873"
"2176",-76.7248,158.705,"-76.7248,158.705"
"2177",-76.6813,159.3456,"-76.6813,159.3456"
"2178",-76.7222,158.7397,"-76.7222,158.7397"
"2179",-76.6866,159.349,"-76.6866,159.349"
"2180",-76.7049,159.0949,"-76.7049,159.0949"
"2181",-76.7116,159.1504,"-76.7116,159.1504"
"2182",-76.7006,159.3093,"-76.7006,159.3093"
"2183",-76.6895,159.3436,"-76.6895,159.3436"
"2184",-76.7003,159.3085,"-76.7003,159.3085"
"2185",-76.6895,159.3348,"-76.6895,159.3348"
"2186",-76.69,159.3847,"-76.69,159.3847"
"2187",-76.7059,159.1566,"-76.7059,159.1566"
"2188",-76.7206,159.4026,"-76.7206,159.4026"
"2189",-76.7154,159.365,"-76.7154,159.365"
"2190",-76.6946,159.2873,"-76.6946,159.2873"
"2191",-76.7201,159.4015,"-76.7201,159.4015"
"2192",-76.6925,159.3014,"-76.6925,159.3014"
"2193",-76.6816,159.31,"-76.6816,159.31"
"2194",-76.7309,158.7032,"-76.7309,158.7032"
"2195",-76.6825,159.3451,"-76.6825,159.3451"
"2196",-76.7053,159.3692,"-76.7053,159.3692"
"2197",-76.6915,159.2971,"-76.6915,159.2971"
"2198",-76.6902,159.3853,"-76.6902,159.3853"
"2199",-76.7215,158.7119,"-76.7215,158.7119"
"2200",-76.7167,159.3333,"-76.7167,159.3333"
"2201",-76.7109,159.1504,"-76.7109,159.1504"
"2202",-76.7232,158.7235,"-76.7232,158.7235"
"2203",-76.692,159.2971,"-76.692,159.2971"
"2204",-76.7225,158.7338,"-76.7225,158.7338"
"2205",-76.6879,159.3863,"-76.6879,159.3863"
"2206",-76.6823,159.3116,"-76.6823,159.3116"
"2207",-76.6805,159.3297,"-76.6805,159.3297"
"2208",-76.6911,159.2817,"-76.6911,159.2817"
"2209",-76.6934,159.4089,"-76.6934,159.4089"
"2210",-76.7356,159.3797,"-76.7356,159.3797"
"2211",-76.7251,159.1952,"-76.7251,159.1952"
"2212",-76.7009,159.3939,"-76.7009,159.3939"
"2213",-76.7232,159.2734,"-76.7232,159.2734"
"2214",-76.7298,159.2144,"-76.7298,159.2144"
"2215",-76.7376,159.4092,"-76.7376,159.4092"
"2216",-76.9512,156.9359,"-76.9512,156.9359"
"2217",-76.9544,156.9374,"-76.9544,156.9374"
"2218",-76.9671,156.9066,"-76.9671,156.9066"
"2219",-76.9713,156.9006,"-76.9713,156.9006"
"2220",-76.9776,156.9248,"-76.9776,156.9248"
"2221",-76.9808,156.9301,"-76.9808,156.9301"
"2222",-77.0167,156.9223,"-77.0167,156.9223"
"2223",-77.0154,156.9301,"-77.0154,156.9301"
"2224",-77.0231,156.9804,"-77.0231,156.9804"
"2225",-76.761,159.4525,"-76.761,159.4525"
"2226",-76.75,159.3333,"-76.75,159.3333"
"2227",-76.75,159.5,"-76.75,159.5"
"2228",-76.7031,159.3894,"-76.7031,159.3894"
"2229",-76.7031,159.3917,"-76.7031,159.3917"
"2230",-76.6892,159.3611,"-76.6892,159.3611"
"2231",-76.7031,159.3931,"-76.7031,159.3931"
"2232",-76.7014,159.3536,"-76.7014,159.3536"
"2233",-76.7017,159.3533,"-76.7017,159.3533"
"2234",-76.6978,159.3461,"-76.6978,159.3461"
